X_pct,Y_pct,XIRR_pct,CAGR_pct,TotalReturn_pct,NumTrades,OpenPositions,WinRate_pct,AvgHoldingDays,MaxDrawdown_INR,MaxCapitalDeployed_INR,GrossInvested_INR,GrossReturned_INR,TerminalMTM_INR,NetPnL_INR
19.0,17.0,25.62938927554453,24.833635204517112,122.769415567979,234,24,94.18604651162791,262.37606837606836,-138437.3142216461,342183.4862948655,2580000.0,3000096.666294342,220275.3424377788,420096.6662943419
19.0,18.0,24.940946220880708,24.343946614757826,122.4077288686437,222,25,93.92712550607287,285.31531531531533,-138081.09244477656,342458.788685731,2470000.0,2889196.025541271,231322.81390773403,419196.0255412711
19.0,19.0,24.740106399314648,24.25426129977948,126.83883251480896,216,25,93.7759336099585,301.2083333333333,-138077.13026158835,339013.35316822224,2410000.0,2840000.579227879,231169.7542869647,430000.5792278792
19.0,20.0,23.110971998433996,23.522884039192515,122.4989251819609,202,28,93.47826086956522,329.16831683168317,-138101.94053849985,344212.26069210155,2300000.0,2721656.3196923537,264187.5103386348,421656.3196923537
20.0,10.0,29.539131727463676,28.525696433530513,108.97309777889497,328,20,95.97701149425288,149.71646341463415,-132171.37716660943,329411.96654552605,3480000.0,3838970.424399037,179033.07589405705,358970.4243990369
20.0,11.0,28.34621998454271,27.50317694214568,108.90847532269423,305,20,95.6923076923077,165.92131147540982,-132338.73076049294,335440.73499459855,3250000.0,3615323.3900938565,178927.61923329497,365323.3900938565
20.0,12.0,28.15533168178582,27.005397758277926,110.85459492426051,288,21,95.46925566343042,179.69444444444446,-132153.7980288289,333529.5947547093,3090000.0,3459732.8812178606,189405.31800328917,369732.8812178606
20.0,13.0,28.68142222758088,26.784110659356685,116.43176644112565,274,21,95.25423728813558,194.3102189781022,-131740.77686711086,326570.5444366536,2950000.0,3330231.853563997,189895.53382533469,380231.85356399696
20.0,14.0,28.4308393463593,26.47372829136718,119.55287222055935,261,22,94.69964664310953,206.81226053639847,-131740.7768671108,323045.1227837827,2830000.0,3216209.722856445,200045.18894182885,386209.7228564448
20.0,15.0,27.72832051694522,25.98611900400014,121.81517884361224,248,22,94.44444444444444,222.93951612903226,-131805.82405118181,322639.70740239683,2700000.0,3093024.136592737,199436.44905115094,393024.13659273693
20.0,16.0,26.53539453063804,25.21003678857894,120.01983994715597,233,22,94.11764705882352,239.59227467811158,-133439.13843144887,325921.9191077824,2550000.0,2941170.9656658596,199447.99971742294,391170.96566585964
20.0,17.0,26.740952037320397,25.2635214431294,126.70644280315291,227,23,94.0,250.72246696035242,-133378.69245992982,320723.19342683937,2500000.0,2906376.9496358237,210514.19549911446,406376.9496358237
